UnitNameValue	UnitIcon	UnitPortrait	TrainingIcon	ImpIcon	MOVValue	CCValue	BSValue	PHValue	WIPValue	ARMValue	BTSValue	WValue	AVAValue	SWCCost	UnitCost	UnitNotesValue	Ability1Title	Ability1Text	Ability2Title	Ability2Text	Weapon1Value	Weapon2Value	Weapon3Value	Weapon4Value	Weapon5Value
Achilles	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280812-0271-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280812-0271.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		6-4	20	15	16	15	5	-6	3	1	0	80	Martial Arts L4, Multiterrain, ODD: Optical Disruptor, Personality	Martial Arts L4	Empty Mind: This functions as Sixth Sense L1, cancelling out Martial Arts Skills of Levels 1-3 of opponents. It also makes opponents incapable of turning to face this figure as an ARO when he enters their ZC from behind, unless they have Sixth Sense L2.  	 Multiterrain	Troops with Multiterrain Skill prepare themselves extensively for every mission, training with simulators or in zones that approximate the location where they will carry out their operations. Those troops stationed in adverse environments that include several types of Special Terrain (Aquatic and Jungle, for instance) will also possess Multiterrain. Before starting the battle, figures with Multiterrain will be able to choose in which type of terrain they will be specialized (See Terrain section). They will only be able to choose one type out of the five possible types (Aquatic, Desert, Mountain, Jungle, or Zero-G) and will reduce the MV difficulty of that Terrain by one level. This Special Skill is automatic and does not require any Order to be activated.  	Nanopulser	MULTI Rifle	EXP CCW	Pistol		
Achilles - Lieutenant	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280812-0271-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280812-0271.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		6-4	20	15	16	15	5	-6	3	1	0	80	Lieutenant, Martial Arts L4, Multiterrain, ODD: Optical Disruptor, Personality	 Martial Arts L4	Empty Mind: This functions as Sixth Sense L1, cancelling out Martial Arts Skills of Levels 1-3 of opponents. It also makes opponents incapable of turning to face this figure as an ARO when he enters their ZC from behind, unless they have Sixth Sense L2.  	 Multiterrain	Troops with Multiterrain Skill prepare themselves extensively for every mission, training with simulators or in zones that approximate the location where they will carry out their operations. Those troops stationed in adverse environments that include several types of Special Terrain (Aquatic and Jungle, for instance) will also possess Multiterrain. Before starting the battle, figures with Multiterrain will be able to choose in which type of terrain they will be specialized (See Terrain section). They will only be able to choose one type out of the five possible types (Aquatic, Desert, Mountain, Jungle, or Zero-G) and will reduce the MV difficulty of that Terrain by one level. This Special Skill is automatic and does not require any Order to be activated.  	Nanopulser	MULTI Rifle	EXP CCW	Pistol		
Achilles - Spitfire	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280812-0271-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280812-0271.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		6-4	20	15	16	15	5	-6	3	1	2	80	Martial Arts L4, Multiterrain, ODD: Optical Disruptor, Personality	Martial Arts L4	Empty Mind: This functions as Sixth Sense L1, cancelling out Martial Arts Skills of Levels 1-3 of opponents. It also makes opponents incapable of turning to face this figure as an ARO when he enters their ZC from behind, unless they have Sixth Sense L2.  	 Multiterrain	Troops with Multiterrain Skill prepare themselves extensively for every mission, training with simulators or in zones that approximate the location where they will carry out their operations. Those troops stationed in adverse environments that include several types of Special Terrain (Aquatic and Jungle, for instance) will also possess Multiterrain. Before starting the battle, figures with Multiterrain will be able to choose in which type of terrain they will be specialized (See Terrain section). They will only be able to choose one type out of the five possible types (Aquatic, Desert, Mountain, Jungle, or Zero-G) and will reduce the MV difficulty of that Terrain by one level. This Special Skill is automatic and does not require any Order to be activated.  	Nanopulser	Spitfire	EXP CCW	Pistol		
Achilles - Shotgun	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280812-0271-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280812-0271.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		6-4	20	15	16	15	5	-6	3	1	0	75	Martial Arts L4, Multiterrain, ODD: Optical Disruptor, Personality	Martial Arts L4	Empty Mind: This functions as Sixth Sense L1, cancelling out Martial Arts Skills of Levels 1-3 of opponents. It also makes opponents incapable of turning to face this figure as an ARO when he enters their ZC from behind, unless they have Sixth Sense L2.  	 Multiterrain	Troops with Multiterrain Skill prepare themselves extensively for every mission, training with simulators or in zones that approximate the location where they will carry out their operations. Those troops stationed in adverse environments that include several types of Special Terrain (Aquatic and Jungle, for instance) will also possess Multiterrain. Before starting the battle, figures with Multiterrain will be able to choose in which type of terrain they will be specialized (See Terrain section). They will only be able to choose one type out of the five possible types (Aquatic, Desert, Mountain, Jungle, or Zero-G) and will reduce the MV difficulty of that Terrain by one level. This Special Skill is automatic and does not require any Order to be activated.  	Nanopulser	Heavy Shotgun	EXP CCW	Pistol		
Achilles - Spitfire Lt	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280812-0271-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280812-0271.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		6-4	20	15	16	15	5	-6	3	1	2	80	Lieutenant, Martial Arts L4, Multiterrain, ODD: Optical Disruptor, Personality	 Martial Arts L4	Empty Mind: This functions as Sixth Sense L1, cancelling out Martial Arts Skills of Levels 1-3 of opponents. It also makes opponents incapable of turning to face this figure as an ARO when he enters their ZC from behind, unless they have Sixth Sense L2.  	 Multiterrain	Troops with Multiterrain Skill prepare themselves extensively for every mission, training with simulators or in zones that approximate the location where they will carry out their operations. Those troops stationed in adverse environments that include several types of Special Terrain (Aquatic and Jungle, for instance) will also possess Multiterrain. Before starting the battle, figures with Multiterrain will be able to choose in which type of terrain they will be specialized (See Terrain section). They will only be able to choose one type out of the five possible types (Aquatic, Desert, Mountain, Jungle, or Zero-G) and will reduce the MV difficulty of that Terrain by one level. This Special Skill is automatic and does not require any Order to be activated.  	Nanopulser	Spitfire	EXP CCW	Pistol		
Achilles - Shotgun Lt	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280812-0271-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280812-0271.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		6-4	20	15	16	15	5	-6	3	1	0	75	Lieutenant, Martial Arts L4, Multiterrain, ODD: Optical Disruptor, Personality	 Martial Arts L4	Empty Mind: This functions as Sixth Sense L1, cancelling out Martial Arts Skills of Levels 1-3 of opponents. It also makes opponents incapable of turning to face this figure as an ARO when he enters their ZC from behind, unless they have Sixth Sense L2.  	 Multiterrain	Troops with Multiterrain Skill prepare themselves extensively for every mission, training with simulators or in zones that approximate the location where they will carry out their operations. Those troops stationed in adverse environments that include several types of Special Terrain (Aquatic and Jungle, for instance) will also possess Multiterrain. Before starting the battle, figures with Multiterrain will be able to choose in which type of terrain they will be specialized (See Terrain section). They will only be able to choose one type out of the five possible types (Aquatic, Desert, Mountain, Jungle, or Zero-G) and will reduce the MV difficulty of that Terrain by one level. This Special Skill is automatic and does not require any Order to be activated.  	Nanopulser	Heavy Shotgun	EXP CCW	Pistol		
Asuras	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280817-0304-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280817-0304.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	16	14	14	15	5	-6	2	2	0	73	Multispectral Visor L3, V: No Wound Incapacitation	Multispectral Visor L3	This works exactly the same as the previous levels but will also allow attacks against a Camouflage or a TO Camouflage Marker without having to pass any Discover roll previously. These attacks against a Marker do not reveal it to the rest of the army. Also, L3 prevents the use of Combat Camouflage and Combat TO Camouflage against its user.  	 V: No Wound Incapacitation	This Special Skill functions automatically, allowing the miniature, after receiving a Wound, to avoid passing to the Unconscious state. Another Wound will be needed to destroy him. The miniature can be cured by a Doctor, AutoMediKit, MediKit, and Regeneration, although if he fails this roll he will automatically die.	Nanopulser	MULTI Rifle	AP CCW	Pistol		
Asuras - Lieutenant	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280817-0304-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280817-0304.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	16	14	14	15	5	-6	2	2	0	73	Lieutenant, Multispectral Visor L3, V: No Wound Incapacitation	 Multispectral Visor L3	This works exactly the same as the previous levels but will also allow attacks against a Camouflage or a TO Camouflage Marker without having to pass any Discover roll previously. These attacks against a Marker do not reveal it to the rest of the army. Also, L3 prevents the use of Combat Camouflage and Combat TO Camouflage against its user.  	 V: No Wound Incapacitation	This Special Skill functions automatically, allowing the miniature, after receiving a Wound, to avoid passing to the Unconscious state. Another Wound will be needed to destroy him. The miniature can be cured by a Doctor, AutoMediKit, MediKit, and Regeneration, although if he fails this roll he will automatically die.	Nanopulser	MULTI Rifle	AP CCW	Pistol		
Asuras - Hacker	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280817-0304-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280817-0304.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	16	14	14	15	5	-6	2	2	0.5	77	Hacker, Hacking Device Plus, Multispectral Visor L3, V: No Wound Incapacitation	 Multispectral Visor L3	This works exactly the same as the previous levels but will also allow attacks against a Camouflage or a TO Camouflage Marker without having to pass any Discover roll previously. These attacks against a Marker do not reveal it to the rest of the army. Also, L3 prevents the use of Combat Camouflage and Combat TO Camouflage against its user.  	 V: No Wound Incapacitation	This Special Skill functions automatically, allowing the miniature, after receiving a Wound, to avoid passing to the Unconscious state. Another Wound will be needed to destroy him. The miniature can be cured by a Doctor, AutoMediKit, MediKit, and Regeneration, although if he fails this roll he will automatically die.	Nanopulser	Combi Rifle	AP CCW	Pistol		
Asuras - Spitfire	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280817-0304-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280817-0304.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	16	14	14	15	5	-6	2	2	2	72	Multispectral Visor L3, V: No Wound Incapacitation	Multispectral Visor L3	This works exactly the same as the previous levels but will also allow attacks against a Camouflage or a TO Camouflage Marker without having to pass any Discover roll previously. These attacks against a Marker do not reveal it to the rest of the army. Also, L3 prevents the use of Combat Camouflage and Combat TO Camouflage against its user.  	 V: No Wound Incapacitation	This Special Skill functions automatically, allowing the miniature, after receiving a Wound, to avoid passing to the Unconscious state. Another Wound will be needed to destroy him. The miniature can be cured by a Doctor, AutoMediKit, MediKit, and Regeneration, although if he fails this roll he will automatically die.	Nanopulser	Spitfire	AP CCW	Pistol		
