UnitNameValue	UnitIcon	UnitPortrait	TrainingIcon	ImpIcon	MOVValue	CCValue	BSValue	PHValue	WIPValue	ARMValue	BTSValue	WValue	AVAValue	SWCCost	UnitCost	UnitNotesValue	Ability1Title	Ability1Text	Ability2Title	Ability2Text	Weapon1Value	Weapon2Value	Weapon3Value	Weapon4Value	Weapon5Value
Line Kazak	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280109-0031-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280109-0031.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	13	11	11	13	1	0	1	T	0	9						Rifle	Knife	Pistol			
Line Kazak - Lieutenant	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280109-0031-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280109-0031.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	13	11	11	13	1	0	1	T	0	9	Lieutenant					Rifle	Knife	Pistol			
Line Kazak - Paramedic	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280109-0031-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280109-0031.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	13	11	11	13	1	0	1	T	0	13	Paramedic, MediKit	Paramedic	This figure is the unit's paramedic and is equipped with MediKits to cure his wounded comrades.  	 MediKit	This is a wound recovery medical device carried by all Paramedics. It is used to heal Unconscious miniatures. Using the MediKit is a Short Skill that requires a PH Roll with a -3 Modifier by the patient. If he fails his roll, he will immediately pass to the Dead state and will be removed from the game table. If he passes the roll, the patient recovers 1 Wound, automatically leaving the Unconscious state and contributing his Order again to the Orders Reserve of his army in the next active turn. With a MediKit, miniatures can be healed from the Unconscious state as many times as necessary, provided they pass their PH-3 Rolls. Human MediKits do not work on Aliens (Assault Packs, Dog-Warriors, etc.) and vice versa. The MediKit is the most frequent medical system of nano-injection on battlefields. There are several syringe models; the most modern being a device with the form of a gun, using a chamber with a magnetic coil. After introducing the nanotreatment cartridge and pulling the electric trigger, the magnetic field accelerator injects at high speed the medical nanobots suspended in the cartridge serum. Other versions of the MediKit are the hypo-spray, with a lower speed performance, or the archaic pneumatic pistols.  	Rifle	Knife	Pistol			
Line Kazak - Observer	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280109-0031-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280109-0031.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	13	11	11	13	1	0	1	T	0	12	Forward Observer	Forward Observer	Forward Observer is a Short Skill. A Forward Observer in LoF with an enemy will be able to mark him after passing a WIP roll (Face to Face, or Normal, depending on the case), modified by Covers, Distance, Camouflage and Hiding Special Skill, or an Optical Disruptor Device. Distance Modifiers for marking with Forward Observer are applied as per the following table: There are two types of attacks that can be made as a result of the marking by a Forward Observer:   Speculative: When the Forward Observer passes his WIP Roll, the target remains marked for any other comrade that wants to shoot at that target, and the Speculative Fire Modifier is not applied.   Guided: When the Forward Observer passes his WIP Roll the target will remain marked for any other comrade possessing a weapon with Guided Ammunition. This figure will be able to use the Short Skill Ballistic Skills to hit the marked miniature without a roll required, as the WIP Roll of the Observer substitutes.   A miniature marked by a Forward Observer will be considered as marked until the end of the turn of the player possessing the Observer that marked it. The special equipment of Forward Observers allows them to use the Flash Pulse.  			Rifle	Knife	Pistol			
Line Kazak - Missile	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280109-0031-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280109-0031.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	13	11	11	13	1	0	1	T	1	28						Missile Launcher	Knife	Pistol			
Line Kazak - Sniper	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280109-0031-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280109-0031.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	13	11	11	13	1	0	1	T	0.5	18						Sniper Rifle	Knife	Pistol			
Line Kazak - LGL	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280109-0031-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280109-0031.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	13	11	11	13	1	0	1	T	1	14						Light GL	Rifle	Knife	Pistol		
Line Kazak - HMG	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280109-0031-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280109-0031.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	13	11	11	13	1	0	1	T	1	29						AP HMG	Knife	Pistol			
Para-Commandos	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280123-0132-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280123-0132.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	13	12	11	14	2	0	1	4	0	20	AD: Parachutist, CH: Mimetism	AD: Parachutist	This miniature has been trained to deploy by using a parachute or rappelling from an aircraft, in the moments prior to combat, arriving from outside of the battlefield at the most critical point. In the deployment phase, AD: Parachutist allows the miniature, without spending Orders or having to make any roll, to avoid being placed on the battlefield. The borders of the game table must be divided into imaginary sections of equal proportion (Two per side, eight in total) to determine the parachutists point of entrance. An entry section from the eight is chosen before the battle starts for each figure, noted in secret so that it can be verified when the figure is deployed. This section cannot be the enemy's Deployment Zone. When the player decides to Deploy the figure, 1 Order is spent (The miniature's own, not one from the Orders Reserve) and the figure is placed on the battlefield, somewhere along the table border of the section selected before beginning the battle. If using a Coordinated Order, all miniatures participating must enter through the same section of a table edge, chosen from those noted before the battle.  	 CH: Mimetism	The figure has the special ability to obscure his appearance to an enemy. Moreover, he has basic mimetic tools and clothes or camouflage gear made with a photosensitive material, a cheaper alternative to chameleonic tools, and knows how to use it with the maximum results in order to avoid discovery. In game terms, any miniature attacking a figure with Mimetism will have a -3 Modifier to his BS Attribute for ranged attacks.  	Rifle	Knife	Pistol			
Para-Commandos - Lieutenant	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280123-0132-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280123-0132.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	13	12	11	14	2	0	1	4	1	20	Lieutenant, AD: Parachutist, CH: Mimetism	 AD: Parachutist	This miniature has been trained to deploy by using a parachute or rappelling from an aircraft, in the moments prior to combat, arriving from outside of the battlefield at the most critical point. In the deployment phase, AD: Parachutist allows the miniature, without spending Orders or having to make any roll, to avoid being placed on the battlefield. The borders of the game table must be divided into imaginary sections of equal proportion (Two per side, eight in total) to determine the parachutists point of entrance. An entry section from the eight is chosen before the battle starts for each figure, noted in secret so that it can be verified when the figure is deployed. This section cannot be the enemy's Deployment Zone. When the player decides to Deploy the figure, 1 Order is spent (The miniature's own, not one from the Orders Reserve) and the figure is placed on the battlefield, somewhere along the table border of the section selected before beginning the battle. If using a Coordinated Order, all miniatures participating must enter through the same section of a table edge, chosen from those noted before the battle.  	 CH: Mimetism	The figure has the special ability to obscure his appearance to an enemy. Moreover, he has basic mimetic tools and clothes or camouflage gear made with a photosensitive material, a cheaper alternative to chameleonic tools, and knows how to use it with the maximum results in order to avoid discovery. In game terms, any miniature attacking a figure with Mimetism will have a -3 Modifier to his BS Attribute for ranged attacks.  	Rifle	Knife	Pistol			
