UnitNameValue	UnitIcon	UnitPortrait	TrainingIcon	ImpIcon	SectorialSymbol	SectorialAVA	SectorialLinkable	MOVValue	CCValue	BSValue	PHValue	WIPValue	ARMValue	BTSValue	WValue	AVAValue	SWCCost	UnitCost	UnitNotesValue	Ability1Title	Ability1Text	Ability2Title	Ability2Text	Ability3Title	Ability3Text	Ability4Title	Ability4Text	Ability5Title	Ability5Text	Ability6Title	Ability6Text	Weapon1Value	Weapon2Value	Weapon3Value	Weapon4Value	Weapon5Value	InactiveMOVValue	InactiveCCValue	InactiveBSValue	InactivePHValue	InactiveWIPValue	InactiveARMValue	InactiveBTSValue	InactiveWValue
Yuan Yuan - Lieutenant	NotFound		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Irregular.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Impetuous.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Sectorials\Qapu_Khalqi_logo.png	3	No	4-4	17	9	13	13	0	0	1	4	3	11	Lieutenant, Booty, AD: Combat Jump	Lieutenant		 Booty	The figure devoted himself to pillaging in some previous battle, and now has some extra item in his equipment that is probably not very common in units like his. This element does not count as a Support Weapon when performing the Support Weapons calculation in army construction. The Booty does not substitute for the figure's basic equipment: it is instead a complement. Before starting the battle a roll is made on the table to ascertain which extra element of equipment the figure has. If, in the course of a battle, a unit with the Special Skill Booty finds the dying body of another figure (in Unconscious state), he can spend 1 Order to scavenge. He may gain the figure's ARM value instead of his own, or take one of its weapons or pieces of equipment. He will be able to pick only one object and in return must throw away any piece of Booty he is currently carrying.  	 AD: Combat Jump	Figures with this special jump equipment are trained to descend at full speed over the battlefield surprising enemies with devastating sudden attacks. The active player can deploy a miniature with AD: Combat Jump at any point during the battle. The figure spends 1 Order (His own, not one from the Orders Reserve) and makes a PH Normal Roll. If successful he deploys to any point on the table nominated by his owner, facing in any direction desired. Dispersion: If he fails the PH roll, the miniature suffers a detour in his fall, deviating as many inches as the Failure Category multiplied by 2.5 (FC x 2.5). In order to determine in which direction the miniature deviates, a Circular Template is used. Place the Circular Template on the target point where the miniature was supposed to land, with the number 1 facing towards the centre of the table. The second digit of the dice Roll is used indicate the direction in which the miniature deviate. If deviation prompts the figure to fall outside the battlefield, he will have to spend an extra Order from the Order Reserve to appear on the border of the game table at the point where he would have left. A figure cannot nominate as jump target the interior of a Smoke zone, or in Impassable Terrain or Zones of Low or Zero Visibility. The landing zone is of the same size as a Circular Template and must be free of scenery elements. The figure with Combat Jump can land on any point in the landing zone but the whole of its base must be in the interior of the Circular Template. A figure cannot land in base to base contact with another miniature. If a Coordinated Order is used to perform a Combat Jump, all the miniatures participating must choose the same template as their landing point. Those failing their PH Roll will be dispersed individually. Figures possessing Combat Jump can also deploy themselves, if they wish to, as if they possessed the preceding levels in AD.  Remotes with Combat Jump will have to perform a PH Roll in order to jump. PH determines the automation and programming level of their jumps.  Impetuous Figures with Combat Jump will have to use their Impetuous Order to perform their jump. If they do not want to jump immediately, at the beginning of the turn they must spend an Order from their army's Orders Reserve in order to stop each impetuous figure from deploying with their Impetuous Order.	 						Smoke Grenades	Chain Rifle	Pistol	Shock CCW											
Yuan Yuan - Rifle	NotFound		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Irregular.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Impetuous.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Sectorials\Qapu_Khalqi_logo.png	3	No	4-4	17	9	13	13	0	0	1	4	0	17	Booty, AD: Combat Jump	Booty	The figure devoted himself to pillaging in some previous battle, and now has some extra item in his equipment that is probably not very common in units like his. This element does not count as a Support Weapon when performing the Support Weapons calculation in army construction. The Booty does not substitute for the figure's basic equipment: it is instead a complement. Before starting the battle a roll is made on the table to ascertain which extra element of equipment the figure has. If, in the course of a battle, a unit with the Special Skill Booty finds the dying body of another figure (in Unconscious state), he can spend 1 Order to scavenge. He may gain the figure's ARM value instead of his own, or take one of its weapons or pieces of equipment. He will be able to pick only one object and in return must throw away any piece of Booty he is currently carrying.  	 AD: Combat Jump	Figures with this special jump equipment are trained to descend at full speed over the battlefield surprising enemies with devastating sudden attacks. The active player can deploy a miniature with AD: Combat Jump at any point during the battle. The figure spends 1 Order (His own, not one from the Orders Reserve) and makes a PH Normal Roll. If successful he deploys to any point on the table nominated by his owner, facing in any direction desired. Dispersion: If he fails the PH roll, the miniature suffers a detour in his fall, deviating as many inches as the Failure Category multiplied by 2.5 (FC x 2.5). In order to determine in which direction the miniature deviates, a Circular Template is used. Place the Circular Template on the target point where the miniature was supposed to land, with the number 1 facing towards the centre of the table. The second digit of the dice Roll is used indicate the direction in which the miniature deviate. If deviation prompts the figure to fall outside the battlefield, he will have to spend an extra Order from the Order Reserve to appear on the border of the game table at the point where he would have left. A figure cannot nominate as jump target the interior of a Smoke zone, or in Impassable Terrain or Zones of Low or Zero Visibility. The landing zone is of the same size as a Circular Template and must be free of scenery elements. The figure with Combat Jump can land on any point in the landing zone but the whole of its base must be in the interior of the Circular Template. A figure cannot land in base to base contact with another miniature. If a Coordinated Order is used to perform a Combat Jump, all the miniatures participating must choose the same template as their landing point. Those failing their PH Roll will be dispersed individually. Figures possessing Combat Jump can also deploy themselves, if they wish to, as if they possessed the preceding levels in AD.  Remotes with Combat Jump will have to perform a PH Roll in order to jump. PH determines the automation and programming level of their jumps.  Impetuous Figures with Combat Jump will have to use their Impetuous Order to perform their jump. If they do not want to jump immediately, at the beginning of the turn they must spend an Order from their army's Orders Reserve in order to stop each impetuous figure from deploying with their Impetuous Order.	 								Smoke Grenades	Rifle	Pistol	Shock CCW											
Yuan Yuan - Shotgun	NotFound		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Irregular.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Impetuous.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Sectorials\Qapu_Khalqi_logo.png	3	No	4-4	17	9	13	13	0	0	1	4	0	19	Booty, AD: Combat Jump	Booty	The figure devoted himself to pillaging in some previous battle, and now has some extra item in his equipment that is probably not very common in units like his. This element does not count as a Support Weapon when performing the Support Weapons calculation in army construction. The Booty does not substitute for the figure's basic equipment: it is instead a complement. Before starting the battle a roll is made on the table to ascertain which extra element of equipment the figure has. If, in the course of a battle, a unit with the Special Skill Booty finds the dying body of another figure (in Unconscious state), he can spend 1 Order to scavenge. He may gain the figure's ARM value instead of his own, or take one of its weapons or pieces of equipment. He will be able to pick only one object and in return must throw away any piece of Booty he is currently carrying.  	 AD: Combat Jump	Figures with this special jump equipment are trained to descend at full speed over the battlefield surprising enemies with devastating sudden attacks. The active player can deploy a miniature with AD: Combat Jump at any point during the battle. The figure spends 1 Order (His own, not one from the Orders Reserve) and makes a PH Normal Roll. If successful he deploys to any point on the table nominated by his owner, facing in any direction desired. Dispersion: If he fails the PH roll, the miniature suffers a detour in his fall, deviating as many inches as the Failure Category multiplied by 2.5 (FC x 2.5). In order to determine in which direction the miniature deviates, a Circular Template is used. Place the Circular Template on the target point where the miniature was supposed to land, with the number 1 facing towards the centre of the table. The second digit of the dice Roll is used indicate the direction in which the miniature deviate. If deviation prompts the figure to fall outside the battlefield, he will have to spend an extra Order from the Order Reserve to appear on the border of the game table at the point where he would have left. A figure cannot nominate as jump target the interior of a Smoke zone, or in Impassable Terrain or Zones of Low or Zero Visibility. The landing zone is of the same size as a Circular Template and must be free of scenery elements. The figure with Combat Jump can land on any point in the landing zone but the whole of its base must be in the interior of the Circular Template. A figure cannot land in base to base contact with another miniature. If a Coordinated Order is used to perform a Combat Jump, all the miniatures participating must choose the same template as their landing point. Those failing their PH Roll will be dispersed individually. Figures possessing Combat Jump can also deploy themselves, if they wish to, as if they possessed the preceding levels in AD.  Remotes with Combat Jump will have to perform a PH Roll in order to jump. PH determines the automation and programming level of their jumps.  Impetuous Figures with Combat Jump will have to use their Impetuous Order to perform their jump. If they do not want to jump immediately, at the beginning of the turn they must spend an Order from their army's Orders Reserve in order to stop each impetuous figure from deploying with their Impetuous Order.	 								Smoke Grenades	Boarding Shotgun	Pistol	Shock CCW											
Yuan Yuan - AP CCW	NotFound		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Irregular.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Impetuous.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Sectorials\Qapu_Khalqi_logo.png	3	No	4-4	17	9	13	13	0	0	1	4	0	11	Booty, AD: Combat Jump	Booty	The figure devoted himself to pillaging in some previous battle, and now has some extra item in his equipment that is probably not very common in units like his. This element does not count as a Support Weapon when performing the Support Weapons calculation in army construction. The Booty does not substitute for the figure's basic equipment: it is instead a complement. Before starting the battle a roll is made on the table to ascertain which extra element of equipment the figure has. If, in the course of a battle, a unit with the Special Skill Booty finds the dying body of another figure (in Unconscious state), he can spend 1 Order to scavenge. He may gain the figure's ARM value instead of his own, or take one of its weapons or pieces of equipment. He will be able to pick only one object and in return must throw away any piece of Booty he is currently carrying.  	 AD: Combat Jump	Figures with this special jump equipment are trained to descend at full speed over the battlefield surprising enemies with devastating sudden attacks. The active player can deploy a miniature with AD: Combat Jump at any point during the battle. The figure spends 1 Order (His own, not one from the Orders Reserve) and makes a PH Normal Roll. If successful he deploys to any point on the table nominated by his owner, facing in any direction desired. Dispersion: If he fails the PH roll, the miniature suffers a detour in his fall, deviating as many inches as the Failure Category multiplied by 2.5 (FC x 2.5). In order to determine in which direction the miniature deviates, a Circular Template is used. Place the Circular Template on the target point where the miniature was supposed to land, with the number 1 facing towards the centre of the table. The second digit of the dice Roll is used indicate the direction in which the miniature deviate. If deviation prompts the figure to fall outside the battlefield, he will have to spend an extra Order from the Order Reserve to appear on the border of the game table at the point where he would have left. A figure cannot nominate as jump target the interior of a Smoke zone, or in Impassable Terrain or Zones of Low or Zero Visibility. The landing zone is of the same size as a Circular Template and must be free of scenery elements. The figure with Combat Jump can land on any point in the landing zone but the whole of its base must be in the interior of the Circular Template. A figure cannot land in base to base contact with another miniature. If a Coordinated Order is used to perform a Combat Jump, all the miniatures participating must choose the same template as their landing point. Those failing their PH Roll will be dispersed individually. Figures possessing Combat Jump can also deploy themselves, if they wish to, as if they possessed the preceding levels in AD.  Remotes with Combat Jump will have to perform a PH Roll in order to jump. PH determines the automation and programming level of their jumps.  Impetuous Figures with Combat Jump will have to use their Impetuous Order to perform their jump. If they do not want to jump immediately, at the beginning of the turn they must spend an Order from their army's Orders Reserve in order to stop each impetuous figure from deploying with their Impetuous Order.	 								Smoke Grenades	Chain Rifle	Pistol	AP CCW											
Yuan Yuan	NotFound		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Irregular.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Impetuous.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Sectorials\Qapu_Khalqi_logo.png	3	No	4-4	17	9	13	13	0	0	1	4	0	11	Booty, AD: Combat Jump	Booty	The figure devoted himself to pillaging in some previous battle, and now has some extra item in his equipment that is probably not very common in units like his. This element does not count as a Support Weapon when performing the Support Weapons calculation in army construction. The Booty does not substitute for the figure's basic equipment: it is instead a complement. Before starting the battle a roll is made on the table to ascertain which extra element of equipment the figure has. If, in the course of a battle, a unit with the Special Skill Booty finds the dying body of another figure (in Unconscious state), he can spend 1 Order to scavenge. He may gain the figure's ARM value instead of his own, or take one of its weapons or pieces of equipment. He will be able to pick only one object and in return must throw away any piece of Booty he is currently carrying.  	 AD: Combat Jump	Figures with this special jump equipment are trained to descend at full speed over the battlefield surprising enemies with devastating sudden attacks. The active player can deploy a miniature with AD: Combat Jump at any point during the battle. The figure spends 1 Order (His own, not one from the Orders Reserve) and makes a PH Normal Roll. If successful he deploys to any point on the table nominated by his owner, facing in any direction desired. Dispersion: If he fails the PH roll, the miniature suffers a detour in his fall, deviating as many inches as the Failure Category multiplied by 2.5 (FC x 2.5). In order to determine in which direction the miniature deviates, a Circular Template is used. Place the Circular Template on the target point where the miniature was supposed to land, with the number 1 facing towards the centre of the table. The second digit of the dice Roll is used indicate the direction in which the miniature deviate. If deviation prompts the figure to fall outside the battlefield, he will have to spend an extra Order from the Order Reserve to appear on the border of the game table at the point where he would have left. A figure cannot nominate as jump target the interior of a Smoke zone, or in Impassable Terrain or Zones of Low or Zero Visibility. The landing zone is of the same size as a Circular Template and must be free of scenery elements. The figure with Combat Jump can land on any point in the landing zone but the whole of its base must be in the interior of the Circular Template. A figure cannot land in base to base contact with another miniature. If a Coordinated Order is used to perform a Combat Jump, all the miniatures participating must choose the same template as their landing point. Those failing their PH Roll will be dispersed individually. Figures possessing Combat Jump can also deploy themselves, if they wish to, as if they possessed the preceding levels in AD.  Remotes with Combat Jump will have to perform a PH Roll in order to jump. PH determines the automation and programming level of their jumps.  Impetuous Figures with Combat Jump will have to use their Impetuous Order to perform their jump. If they do not want to jump immediately, at the beginning of the turn they must spend an Order from their army's Orders Reserve in order to stop each impetuous figure from deploying with their Impetuous Order.	 								Smoke Grenades	Chain Rifle	Pistol	Shock CCW											
Bashi Bazouk	NotFound		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Irregular.png		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Sectorials\Qapu_Khalqi_logo.png	4	No	4-4	14	11	10	13	2	0	1	2	0	17	AD: Parachutist / Zero-G, Holoprojector L2	AD: Parachutist / Zero-G		 Holoprojector L2		 								Rifle	Light Shotgun	Knife	Pistol											
Bashi Bazouk - Shotgun	NotFound		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Irregular.png		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Sectorials\Qapu_Khalqi_logo.png	4	No	4-4	14	11	10	13	2	0	1	2	0	16	AD: Parachutist / Zero-G, Holoprojector L2	AD: Parachutist / Zero-G		 Holoprojector L2		 								Boarding Shotgun	Knife	Pistol												
Bashi Bazouk - AP Rifle	NotFound		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Irregular.png		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Sectorials\Qapu_Khalqi_logo.png	4	No	4-4	14	11	10	13	2	0	1	2	0.5	19	AD: Parachutist / Zero-G, Holoprojector L2	AD: Parachutist / Zero-G		 Holoprojector L2		 								AP Rifle	Knife	Pistol												
Bashi Bazouk - E-Mauler	NotFound		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Irregular.png		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Sectorials\Qapu_Khalqi_logo.png	4	No	4-4	14	11	10	13	2	0	1	2	1	22	AD: Parachutist / Zero-G, Holoprojector L2	AD: Parachutist / Zero-G		 Holoprojector L2		 								Combi Rifle	E/Mauler	Knife	Pistol											
Druze Shock Teams	NotFound		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Regular.png		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Sectorials\Qapu_Khalqi_logo.png	4	Yes	4-2	14	12	11	13	3	0	1	2	0	21	X Visor	X Visor	Technological and evolutionary advances have given this miniature a vision with a zoom effect. Modifiers for Long Distance are reduced to 0 and those of Maximum Distance drop to -3.  	 										Combi Rifle	D.E.P.	CCW	Pistol											
